s:0, p:-1, d:-1
s:1, p:0, d:0
s:2, p:1, d:0
s:3, p:2, d:0
s:4, p:3, d:0
s:5, p:4, d:35
s:6, p:5, d:0
s:7, p:6, d:0
s:8, p:7, d:0
s:9, p:8, d:0
s:10, p:9, d:0
s:11, p:10, d:35
s:12, p:11, d:36
s:13, p:12, d:37
s:14, p:13, d:0
s:15, p:14, d:0
s:16, p:15, d:0
s:17, p:16, d:1
s:18, p:17, d:0
s:19, p:18, d:0
s:20, p:19, d:0
s:21, p:20, d:0
s:22, p:21, d:0
s:23, p:22, d:0
s:24, p:23, d:0
s:25, p:24, d:0
s:26, p:25, d:0
s:27, p:26, d:0
s:28, p:27, d:0
s:29, p:28, d:0
s:30, p:29, d:0
s:31, p:30, d:0
s:32, p:31, d:0
s:33, p:32, d:0
s:34, p:33, d:1
s:35, p:0, d:0
s:36, p:35, d:0
s:37, p:36, d:0
0
s:0, p:-1, d:-1
s:1, p:0, d:0
s:2, p:1, d:4
s:3, p:2, d:5
s:4, p:0, d:0
s:5, p:0, d:0
s:6, p:5, d:4
0
s:0, p:-1, d:-1
s:1, p:0, d:0
s:2, p:1, d:7
s:3, p:2, d:8
s:4, p:3, d:9
s:5, p:4, d:14
s:6, p:5, d:15
s:7, p:0, d:0
s:8, p:7, d:12
s:9, p:8, d:13
s:10, p:0, d:0
s:11, p:10, d:16
s:12, p:0, d:0
s:13, p:12, d:10
s:14, p:13, d:11
s:15, p:14, d:17
s:16, p:0, d:0
s:17, p:16, d:0
0
s:0, p:-1, d:-1
s:1, p:0, d:0
s:2, p:1, d:5
s:3, p:2, d:6
s:4, p:3, d:7
s:5, p:0, d:0
s:6, p:5, d:14
s:7, p:6, d:15
s:8, p:7, d:16
s:9, p:8, d:17
s:10, p:0, d:0
s:11, p:10, d:13
s:12, p:11, d:0
s:13, p:0, d:0
s:14, p:0, d:0
s:15, p:14, d:10
s:16, p:15, d:11
s:17, p:16, d:12
0
